68,0247
54,9736
53,2289
49,9224
45,834
43,7019
42,5683
41,9019
41,4606
41,1347
40,8716
40,6363
40,336
25,5403
23,1284
20,8351
20,995
17,3714
14,9151
13,48
12,4625
11,6193
10,866
10,1897
9,5939
9,07634
8,62832
8,23914
7,8987
7,59847
7,3315
7,09223
6,87624
6,67997
6,50057
6,33572
6,1835
6,04234
5,91093
5,78815
5,67307
5,56489
5,46292
5,36657
5,27532
5,18873
5,1064
5,02797
4,95314
4,88163
4,8132
4,74762
4,6847
4,62426
4,56613
4,51016
4,45623
4,40421
4,35398
4,30545
4,25851
4,21309
4,16909
4,12645
4,08509
4,04496
4,00599
3,96812
3,93131
3,8955
3,86065
3,82672
3,79367
3,76145
3,73004
3,69941
3,66951
3,64032
3,61181
3,58396
3,55674
3,53013
3,5041
3,47864
3,45372
3,42932
3,40543
3,38203
3,3591
3,33663
3,3146
3,293
3,27181
3,25102
3,23062
3,2106
3,19094
3,17163
3,15267
3,13404
3,11573
3,09774
3,08006
3,06267
3,04557
3,02875
3,0122
2,99592
2,9799
2,96413
2,9486
2,93332
2,91826
2,90344
2,88883
2,87444
2,86027
2,8463
2,83253
2,81895
2,80557
2,79237
2,77936
2,76652
2,75386
2,74137
2,72905
2,71689
2,70489
2,69305
2,68136
2,66981
2,65842
2,64717
2,63605
2,62508
2,61424
2,60353
2,59295
2,5825
2,57217
2,56197
2,55188
2,54191
2,53206
2,52231
2,51268
2,50316
2,49374
2,48443
2,47522
2,46611
2,4571
2,44819
2,43937
2,43065
2,42201
2,41347
2,40502
2,39665
2,38837
2,38018
2,37207
2,36404
2,35609
2,34822
2,34042
2,33271
2,32506
2,3175
2,31
2,30258
2,29522
2,28794
2,28072
2,27358
2,26649
2,25948
2,25252
2,24563
2,23881
2,23204
2,22533
2,21869
2,2121
2,20557
2,1991
2,19268
2,18632
2,18001
2,17376
2,16756
2,16141
2,15532
2,14927
2,14328
2,13733
2,13144
2,12559
2,11979
